year,scenario,seed,decommissioned,total_treated,annual_treatment_to_inflow_ratio,desired_total_flow,unmet_flow,backlog_considered,opening_untreated_stock,untreated_stock,untreated_stock_share,net_untreated_stock_increase,net_untreated_stock_increase_share,stock_drawdown,direct_reuse_flow,direct_reuse_share,incumbent_open_loop_flow,incumbent_open_loop_treatment_share,solvolysis_treated_flow,solvolysis_treatment_share,closed_loop_material_flow,closed_loop_equivalent_wtb_flow,closed_loop_wtb_flow_share,annual_direct_reuse_to_inflow_ratio,annual_open_loop_to_inflow_ratio,annual_solvolysis_to_inflow_ratio,total_open_loop_utilization,total_closed_loop_utilization,recovered_material_utilization_share,open_loop_utilization_share,closed_loop_utilization_share,total_opening_capacity,total_closing_capacity,opening_capacity_gap,treatment_capacity_utilization,virgin_material_displacement,avoided_ghg_index,average_processing_cost,effective_closed_loop_demand,adoption_activated_closed_loop_demand,mandate_activated_closed_loop_demand,opening_trl_solvolysis,opening_solvolysis_available,trl_solvolysis,solvolysis_available,manufacturer_adoption_probability,manufacturer_realized_adoption_share,perceived_risk,supply_reliability,certification_score,price_advantage,switches_to_solvolysis,recycler_exits,recycler_expansions,recycler_contractions,active_recyclers,solvolysis_recyclers,desired_flow_reuse,flow_reuse,unmet_flow_reuse,desired_share_reuse,opening_capacity_reuse,capacity_reuse,capacity_change_reuse,cost_reuse,desired_flow_repurposing,flow_repurposing,unmet_flow_repurposing,desired_share_repurposing,opening_capacity_repurposing,capacity_repurposing,capacity_change_repurposing,cost_repurposing,desired_flow_mechanical_recycling,flow_mechanical_recycling,unmet_flow_mechanical_recycling,desired_share_mechanical_recycling,opening_capacity_mechanical_recycling,capacity_mechanical_recycling,capacity_change_mechanical_recycling,cost_mechanical_recycling,desired_flow_pyrolysis,flow_pyrolysis,unmet_flow_pyrolysis,desired_share_pyrolysis,opening_capacity_pyrolysis,capacity_pyrolysis,capacity_change_pyrolysis,cost_pyrolysis,desired_flow_recovery,flow_recovery,unmet_flow_recovery,desired_share_recovery,opening_capacity_recovery,capacity_recovery,capacity_change_recovery,cost_recovery,desired_flow_solvolysis,flow_solvolysis,unmet_flow_solvolysis,desired_share_solvolysis,opening_capacity_solvolysis,capacity_solvolysis,capacity_change_solvolysis,cost_solvolysis,recovered_generation_mechanical_recycling,available_recovered_material_mechanical_recycling,open_loop_utilization_mechanical_recycling,closed_loop_utilization_mechanical_recycling,recovered_stock_mechanical_recycling,recovered_generation_pyrolysis,available_recovered_material_pyrolysis,open_loop_utilization_pyrolysis,closed_loop_utilization_pyrolysis,recovered_stock_pyrolysis,recovered_generation_solvolysis,available_recovered_material_solvolysis,open_loop_utilization_solvolysis,closed_loop_utilization_solvolysis,recovered_stock_solvolysis,recovery_resource_credit,mean_recycler_profit_mechanical_recycling,mean_recycler_profit_pyrolysis,mean_recycler_profit_solvolysis,mean_recycler_profit_recovery
2026,post_2025_baseline,42,100.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.15,85.0,0.85,0.0,0.0,0.0,0.0,0.0,0.15,0.85,0.0,22.234375,0.0,1.0,1.0,0.0,165.0,168.26824617650846,0.0,0.6060606060606061,9.576785714285714,46.164397321428574,449.55357142857144,0.9921809561176906,0.9921809561176906,0.0,5.0,False,5.181818181818182,False,0.09921809561176906,0.08333333333333333,0.33759884626355213,0.4,0.01798620996209156,-0.05555555555555555,0,0,27,0,40,0,38.0,5.0,0.0,0.3870367787954639,5.0,5.0,0.0,250.0,24.0,10.0,0.0,0.25812244672350465,10.0,10.0,0.0,350.0,13.0,32.723214285714285,0.0,0.1322352905315218,60.0,61.51330927369255,1.5133092736925515,500.0,4.0,6.517857142857142,0.0,0.05799852242652761,10.0,10.0,0.0,850.0,21.0,45.75892857142857,0.0,0.16460696152298224,80.0,81.75493690281591,1.7549369028159123,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,17.997767857142858,17.997767857142858,17.997767857142858,0.0,0.0,4.236607142857142,4.236607142857142,4.236607142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.727678571428571,1674.466484972061,0.0,0.0,1063.9148533042298
2027,post_2025_baseline,42,103.49999999999999,103.49999999999999,1.0,103.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.1449275362318841,88.49999999999999,0.855072463768116,0.0,0.0,0.0,0.0,0.0,0.1449275362318841,0.855072463768116,0.0,23.96385273498563,0.0,1.0,1.0,0.0,168.26824617650846,171.53163761774204,0.0,0.6150893133540568,10.128275345659128,48.46908994738726,445.85961370876225,1.0112233556347185,1.0112233556347185,0.0,5.181818181818182,False,5.363636363636363,False,0.10012112432026916,0.11666666666666667,0.33694727287922793,0.4,0.02567158634982702,-0.05555555555555555,0,0,25,0,40,0,37.259999999999984,5.0,0.0,0.3862960496330977,5.0,5.0,0.0,250.0,25.875,10.0,0.0,0.25666052109297594,10.0,10.0,0.0,350.0,16.56,35.72532619891503,0.0,0.13376655081692124,61.51330927369255,63.395976578894995,1.8826673052024434,491.57885184323777,4.14,6.638343577819022,0.0,0.05789204361118143,10.0,10.0,0.0,841.7084188884847,19.665,46.13633022326594,0.0,0.1653848348458236,81.75493690281591,83.13566103884705,1.3807241360311358,395.50405112504484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,19.648929409403266,19.648929409403266,19.648929409403266,0.0,0.0,4.314923325582364,4.314923325582364,4.314923325582364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84089906697978,1900.476597585715,0.0,0.0,1116.8976792173755
2028,post_2025_baseline,42,107.12249999999999,107.12249999999993,0.9999999999999994,107.12249999999993,0.0,0.0,0.0,5.684341886080802e-14,1.8299839471000335e-16,5.684341886080802e-14,5.30639397519737e-16,0.0,15.0,0.14002660505496053,92.12249999999993,0.8599733949450394,0.0,0.0,0.0,0.0,0.0,0.14002660505496045,0.859973394945039,0.0,23.925735503627994,0.0,1.0,1.0,0.0,171.53163761774204,175.05314036117483,0.0,0.6245057849836556,10.266090586312329,49.97855351725315,439.4186964785977,1.0344636825634874,1.0344636825634874,0.0,5.363636363636363,False,5.545454545454545,False,0.10140806612719218,0.1,0.3360276404361358,0.4,0.03651874744261098,-0.05555555555555555,0,0,27,0,40,0,46.062674999999956,5.0,0.0,0.3858271254459082,5.0,5.0,0.0,250.0,29.994299999999978,10.0,0.0,0.2554604524355848,10.0,10.0,0.0,350.0,9.641024999999999,35.800397169905565,0.0,0.13505399190870454,63.395976578894995,65.18082900488258,1.7848524259875926,484.5983925229944,3.2136749999999994,6.516180092584508,0.0,0.05782436987774089,10.0,10.0,0.0,834.2635062338635,18.210824999999996,49.80592273750986,0.0,0.16583406033206166,83.13566103884705,84.87231135629226,1.7366503174452046,392.25461688521807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,19.690218443448064,19.690218443448064,19.690218443448064,0.0,0.0,4.235517060179931,4.235517060179931,4.235517060179931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.941776821252958,1963.8052484265068,0.0,0.0,1240.2683764880142
2029,post_2025_baseline,42,110.87178749999997,110.87178749999995,0.9999999999999999,110.87178749999995,0.0,5.684341886080802e-15,5.684341886080802e-14,7.105427357601002e-14,1.6857707371896474e-16,1.4210854715202004e-14,1.281737675168447e-16,0.0,15.0,0.13529140585020338,95.87178749999995,0.8647085941497966,0.0,0.0,0.0,0.0,0.0,0.13529140585020336,0.8647085941497965,0.0,25.863815536205212,0.0,1.0,1.0,0.0,175.05314036117483,178.99680075503852,0.0,0.6333607456069968,11.016052076121895,52.43438569647314,440.6149248719217,1.063626420230076,1.063626420230076,0.0,5.545454545454545,False,5.727272727272727,False,0.10323453245508604,0.06666666666666667,0.3347400516410543,0.4,0.05170599228855568,-0.05555555555555555,0,0,29,0,40,0,42.13127924999996,5.0,0.0,0.38550568520068057,5.0,5.0,0.0,250.0,31.044100499999995,10.0,0.0,0.25445295889195846,10.0,10.0,0.0,350.0,13.304614499999998,37.96953006622667,0.0,0.13604862038454663,65.18082900488258,67.3442259391345,2.163396934251928,479.02746675240377,5.543589374999999,7.662421538123911,0.0,0.05777792490786559,10.0,10.0,0.0,827.7356759078459,18.848203874999996,50.23983589564938,0.0,0.16621481061494858,84.87231135629226,86.65257481590402,1.7802634596117664,389.5485822848657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,20.88324153642467,20.88324153642467,20.88324153642467,0.0,0.0,4.9805739997805425,4.9805739997805425,4.9805739997805425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.071950768694812,2132.7366382570144,0.0,0.0,1280.0591074155204
2030,post_2025_baseline,42,114.75230006249997,114.75230006249998,1.0000000000000002,114.7523000625,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-14,5.684341886080802e-14,1.0600238804164488e-16,0.0,0.0,1.4210854715202004e-14,15.0,0.13071633415478584,99.75230006249998,0.8692836658452141,0.0,0.0,0.0,0.0,0.0,0.13071633415478587,0.8692836658452142,0.0,27.78095659470355,0.0,1.0,1.0,0.0,178.99680075503852,182.72408769792358,0.0,0.6410857600719987,11.931971305293274,54.87124946094672,445.15528758305186,1.1010752857337116,1.1010752857337116,0.0,5.727272727272727,False,5.909090909090908,False,0.10581117073858975,0.1,0.33295740916952116,0.4,0.07273244715626782,-0.05555555555555555,0,0,26,0,40,0,40.163305021875,5.0,0.0,0.3854210402147333,5.0,5.0,0.0,250.0,25.24550601375,10.0,0.0,0.2535421954628767,10.0,10.0,0.0,350.0,16.065322008749998,38.69264835400645,0.0,0.1368397947804794,67.3442259391345,69.58730317450659,2.2430772353720885,474.15198079717817,10.327707005625,10.0,0.0,0.05776524551256394,10.0,10.0,0.0,820.855150750438,22.9504600125,51.05965170849354,0.0,0.16643172402934678,86.65257481590402,88.13678452341699,1.4842097075129714,387.34783937046853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,21.28095659470355,21.28095659470355,21.28095659470355,0.0,0.0,6.5,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.317895512548061,2218.647039985242,0.0,0.0,1324.734323364824
2031,post_2025_baseline,42,118.76863056468746,118.76863056468747,1.0000000000000002,118.76863056468748,1.4210854715202004e-14,5.684341886080802e-15,5.684341886080802e-14,4.263256414560601e-14,6.508637198918918e-17,0.0,0.0,1.4210854715202004e-14,15.0,0.1262959750287786,103.76863056468747,0.8737040249712213,0.0,0.0,0.0,0.0,0.0,0.12629597502877862,0.8737040249712215,0.0,27.500066120227658,0.0,1.0,1.0,0.0,182.72408769792358,186.70615048552526,0.0,0.6499889098422196,11.774713041803174,56.528899731370174,434.41080561379664,1.1499588023609322,1.1499588023609322,0.0,5.909090909090908,False,6.09090909090909,False,0.10941463426077774,0.11666666666666667,0.33052735883358475,0.4,0.10139514566748062,-0.05555555555555555,0,0,27,0,40,0,45.132079614581265,5.0,0.0,0.38565875523610194,5.0,5.0,0.0,250.0,35.63058916940624,10.0,0.0,0.2526874507858925,10.0,10.0,0.0,350.0,10.68917675082187,40.54851948037879,0.0,0.13734259562800485,69.58730317450659,71.94145419699208,2.3541510224855,469.9545609486627,5.938431528234372,7.997508316952798,0.0,0.0577985291274623,10.0,10.0,0.0,812.9082642309975,21.37835350164374,55.22260276735588,0.0,0.16651266922253843,88.13678452341699,89.76469628853317,1.6279117651161867,385.4793715773595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,22.30168571420834,22.30168571420834,22.30168571420834,0.0,0.0,5.198380406019319,5.198380406019319,5.198380406019319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.566780830206763,2365.421429033616,0.0,0.0,1454.8825270575871
2032,post_2025_baseline,42,122.9255326344515,122.92553263445146,0.9999999999999997,122.92553263445146,0.0,4.263256414560602e-15,4.263256414560601e-14,8.526512829121202e-14,1.0960362753555927e-16,4.263256414560601e-14,3.4681618400942093e-16,0.0,15.0,0.12202509664616297,107.92553263445146,0.877974903353837,0.0,0.0,0.0,0.0,0.0,0.12202509664616293,0.8779749033538368,0.0,28.563659922469604,0.0,1.0,1.0,0.0,186.70615048552526,190.5027735370818,0.0,0.6583903760791292,12.220908341501637,58.781581458221154,432.12185101882505,1.2142876706181291,1.2142876706181291,0.0,6.09090909090909,False,6.272727272727272,False,0.1143913914333738,0.13333333333333333,0.32728389146088754,0.4,0.1396521834167599,-0.05555555555555555,0,0,25,0,40,0,54.087234359158636,5.0,0.0,0.38563795341779405,5.0,5.0,0.0,250.0,33.18989381130189,10.0,0.0,0.2519369622401776,10.0,10.0,0.0,350.0,8.604787284411605,42.25073928780436,0.0,0.13795466541919846,71.94145419699208,74.19512990454206,2.2536757075499754,466.167956310239,6.146276631722575,8.193466637195703,0.0,0.05779508774783326,10.0,10.0,0.0,807.2300423572227,20.89734054785675,57.481326709451395,0.0,0.16667533117499647,89.76469628853317,91.30764363253974,1.5429473440065657,383.75689559125396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,23.2379066082924,23.2379066082924,23.2379066082924,0.0,0.0,5.3257533141772075,5.3257533141772075,5.3257533141772075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24439801283542,2503.0155171358606,0.0,0.0,1535.3554662177808
2033,post_2025_baseline,42,127.22792627665729,127.22792627665737,1.0000000000000007,127.22792627665737,0.0,8.526512829121203e-15,8.526512829121202e-14,0.0,0.0,0.0,0.0,8.526512829121202e-14,15.0,0.11789864410257282,112.22792627665737,0.8821013558974272,0.0,0.0,0.0,0.0,0.0,0.1178986441025729,0.8821013558974278,0.0,31.521364018864098,0.0,1.0,1.0,0.0,190.5027735370818,195.0403213180123,0.0,0.6678534066166347,12.80687436905527,62.12529451861497,426.9829698501876,1.2988150143835744,1.2988150143835744,0.0,6.272727272727272,False,6.454545454545453,False,0.12114282136402675,0.13333333333333333,0.32307444873981084,0.4,0.18930300168589773,-0.05555555555555555,0,0,29,0,40,0,49.61889124789638,5.0,0.0,0.38564298667909497,5.0,5.0,0.0,250.0,31.806981569164343,10.0,0.0,0.25123985073736366,10.0,10.0,0.0,350.0,24.1733059925649,49.791847749845395,0.0,0.138510258714866,74.19512990454206,76.8953734031273,2.7002434985852375,462.7268100884031,2.544558525533146,6.362842702229425,0.0,0.05779536699166865,10.0,10.0,0.0,801.9229563861016,19.084188941498603,56.073235824582554,0.0,0.16681153687700653,91.30764363253974,93.14494791488501,1.8373042823452728,382.2077500226463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,27.38551626241497,27.38551626241497,27.38551626241497,0.0,0.0,4.1358477564491265,4.1358477564491265,4.1358477564491265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.821970747374767,2990.4893227430143,0.0,0.0,1516.3841488252979
2034,post_2025_baseline,42,131.6809036963403,131.68090369634032,1.0000000000000002,131.68090369634032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.11391173343243756,116.68090369634032,0.8860882665675625,0.0,0.0,0.0,0.0,0.0,0.11391173343243757,0.8860882665675627,0.0,33.7325615083929,0.0,1.0,1.0,0.0,195.0403213180123,199.82510296980587,0.0,0.6751470814162331,13.940131328644014,64.89615316991221,433.7601413582793,1.4085136095055055,1.4085136095055055,0.0,6.454545454545453,False,6.636363636363635,False,0.13007386870163373,0.15,0.3178058115897747,0.4,0.2514471293046621,-0.05555555555555555,0,0,30,0,40,0,46.088316293719124,5.0,0.0,0.3854358545038891,5.0,5.0,0.0,250.0,36.870653034975284,10.0,0.0,0.2505949130913785,10.0,10.0,0.0,350.0,21.068944591414443,49.95984594538626,0.0,0.1392789162247728,76.8953734031273,79.6884471385608,2.793073735433513,459.1782763150935,9.217663258743821,9.622532674508381,0.0,0.057765388016209104,10.0,10.0,0.0,798.1055088576577,18.43532651748764,57.098525076445675,0.0,0.16692492816375076,93.14494791488501,95.13665583124505,1.991707916360039,380.87945510914574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,27.47791526996245,27.47791526996245,27.47791526996245,0.0,0.0,6.254646238430448,6.254646238430448,6.254646238430448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.129557522933702,3042.785209119785,0.0,0.0,1560.2937448817881
2035,post_2025_baseline,42,136.2897353257122,136.28973532571223,1.0000000000000002,136.28973532571223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.11005964582844209,121.28973532571223,0.8899403541715579,0.0,0.0,0.0,0.0,0.0,0.1100596458284421,0.8899403541715581,0.0,33.267347356023976,0.0,1.0,1.0,0.0,199.82510296980587,204.4791624317989,0.0,0.6820451149538804,14.098186603698645,66.58535323268353,430.3205343168209,1.547426746786902,1.547426746786902,0.0,6.636363636363635,False,6.818181818181817,False,0.14148738996812765,0.18333333333333332,0.31150265741263194,0.4,0.32579349373069333,-0.05555555555555555,0,0,28,0,40,0,39.52402324445655,5.0,0.0,0.3855563397635962,5.0,5.0,0.0,250.0,43.612715304227926,10.0,0.0,0.24994793163023465,10.0,10.0,0.0,350.0,13.628973532571218,48.66790428367996,0.0,0.13977178380881689,79.6884471385608,82.56494018863933,2.8764930500785177,456.0465268629698,13.628973532571218,10.0,0.0,0.05778209161690707,10.0,10.0,0.0,792.7638739662242,25.895049711885314,62.62183104203227,0.0,0.16694185318044522,95.13665583124505,96.91422224315957,1.7775664119145236,379.6727734352919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,26.76734735602398,26.76734735602398,26.76734735602398,0.0,0.0,6.5,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78654931260968,3000.9886031326323,0.0,0.0,1727.2491752063372
